slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,24.186999999999898,25.813000000000102,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.813000000000102,25.577999999999975,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,20.25,25.735000000000127,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,22.5,25.71900000000005,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,17.735000000000127,25.688000000000102,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,16.858999999999924,25.610000000000127,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,17.188000000000102,25.610000000000127,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,17.860000000000127,25.577999999999975,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,17.78099999999995,25.5,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,16.686999999999898,26.25,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
