slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,69.32899999999972,25.407000000000153,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,69.20299999999952,25.46900000000005,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,67.96799999999985,25.657000000000153,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,67.95399999999972,25.51599999999962,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,64.70300000000043,25.54699999999957,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.32800000000043,25.25,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.59400000000005,25.407000000000153,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,64.09299999999985,25.29699999999957,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.09299999999985,25.26600000000053,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,61.73399999999947,25.375,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
11,10.101.18.23,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.65599999999995,25.57800000000043,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
12,10.101.18.24,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.09400000000005,25.60900000000038,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
13,10.101.18.25,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,63.625,25.40599999999995,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
14,10.101.18.26,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,55.92200000000048,25.76600000000053,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
15,10.101.18.27,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,62.4380000000001,25.26600000000053,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
16,10.101.18.28,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,61.5,25.28099999999995,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
